hunupardhachha,हुनुपर्दछ
purush,पुरुष
mahila,महिला
dubai,दुबै
saman,समान
shiksha,शिक्षा
pradan,प्रदान
gardachha,गर्दछ
sarkarle,सरकारले
agrim,अग्रिम
karyakram,कार्यक्रम
lyaunu,ल्याउनु
pardachha,पर्दछ
nagarik,नागरिक
sarkar,सरकार
dubailai,दुबैलाई
faida,फाइदा
puryaune,पुर्‍याउने
bibhinna,बिभिन्न
suvidha,सुविधा
gari,गरी
nagariklai,नागरिकलाई
sahayog,सहयोग
garnupardachha,गर्नुपर्दछ
ek,एक
tyasobhaye,त्यसोभए
yaslai,यसलाई
vishwabhar,विश्वभर
prakashit,प्रकाशित
garnuparnechha,गर्नुपर्नेछ
jun,जुन
pratyaksha,प्रत्यक्ष
wa,वा
apratyaksha,अप्रत्यक्ष
rupma,रूपमा
paryataklai,पर्यटकलाई
aakarshit,आकर्षित
garna,गर्न
maddhat,मद्दत
aafno,आफ्नो
awastha,अवस्था
niyantran,नियन्त्रण
sakchau,सक्छौं
saphalata,सफलता
hamra,हाम्रा
balharu,बलहरू
garera,गरेर
prapta,प्राप्त
kamajoriharu,कमजोरीहरू
hataera,हटाएर
prakritima,प्रकृतिमा
sahaj,सहज
paine,पाइने
manisbata,मानिसबाट
nabanaeka,नबनाइएका
vastu,वस्तु
sampada,सम्पदा
ajha,अझ
spashta,स्पष्ट
shabdama,शब्दमा
nepalma,नेपालमा
himal,हिमाल
pahad,पहाड
taramandal,तारामण्डल
nadinala,नदीनाला
taltalaiya,तालतलैया
jal,जल
vayu,वायु
khanij,खनिज
padartha,पदार्थ
jivjantu,जीवजन्तु
vanaspati,वनस्पति
yi,यी
nepalko,नेपालको
akshaya,अक्षय
bhandar,भण्डार
sampadabata,सम्पदाबाट
manisle,मानिसले
ekatir,एकातिर
bharpura,भरपुर
manoranjan,मनोरञ्जन
gareka,गरेका
arkotir,अर्कोतिर
manisko,मानिसको
mihineta,मिहिनेत
paurakh,पौरख
buddhi,बुद्धि
kshamata,क्षमता
pokhinda,पोखिंदा
yinaibata,यिनैबाट
jibanma,जीवनमा
pran,प्राण
dhanta,धान्त
rogko,रोगको
upchar,उपचार
bideshi,विदेशी
mudra,मुद्रा
arjan,आर्जन
arthoparjan,अर्थोपार्जन
saksham,सक्षम
baneka,बनेका
yasari,यसरी
manislai,मानिसलाई
sukhko,सुखको
garaune,गराउने
sampattiko,सम्पत्तिको
raheko,रहेको
yahi,यही
upayog,उपयोग
hune,हुने
payane,पायने
sampadako,सम्पदाको
barema,बारेमा
ullekh,उल्लेख
garieko,गरिएको
vishwakai,विश्वकै
pranilai,प्राणीलाई
banchanka,बाँच्नका
nahune,नहुने
dainik,दैनिक
upabhogma,उपभोगमा
parne,पर्ने
prayog,प्रयोग
pyas,प्यास
metna,मेट्न
sharir,शरीर
lugaka,लुगाका
mayal,मयल
milkauna,मिल्काउन
sinchai,सिंचाइ
bijuli,विजुली
utpadanma,उत्पादनमा
bhaeko,भएको
paniko,पानीको
strot,स्रोत
asia,एसिया
mahadeshma,महादेशमा
pahilo,पहिलो
vishwama,विश्वमा
brazil,ब्राजिल
pachadiko,पछाडिको
dosro,दोस्रो
sthanma,स्थानमा
pahadma,पहाडमा
nagabeli,नागबेली
bani,बनी
bagne,बग्ने
trishuli,त्रिशुली
mashyangdi,मस्याङ्दी
arun,अरुण
tamor,तमोर
nadi,नदी
pramukhk,प्रमुख
utpadan,उत्पादन
sake,सके
sthiti,स्थिति
baliyo,बलियो
dekhinchha,देखिन्छ
arko,अर्को
mahattwapurna,महत्त्वपूर्ण
shrinkhalaharu,श्रृङ्खलाहरू
uttar,उत्तर
dishama,दिशामा
purvadekhi,पूर्वदेखि
paschimsamda,पश्चिमसम्म
paredka,परेडका
sipahi,सिपाही
shrinkhala,श्रृंखला
ubhieka,उभिएका
vishwako,विश्वको
sarvochchha,सर्वोच्च
shikhar,शिखर
sagarmatha,सगरमाथा
sathai,साथै
annapurna,अन्नपूर्ण
kanchanjangha,कञ्चनजङ्घा
lotse,लोत्से
manaslu,मनासलु
yalungkad,यालुङकाड
makalu,मकालु
machapuchhre,माछापुच्छे
himalaharu,हिमालहरू
himalma,हिमालमा
phalam,फलाम
sun,सुन
chandi,चाँदी
abhrakh,अभ्रख
chunadhunga,चुनढुङ्गा
sisa,सिसा
gandhak,गन्धक
marble,मार्बल
soda,सोडा
sidhenaun,सिधेनुन
birenaun,विरेनुन
khari,खरी
aadika,आदिका
khani,खानी
yarchagumba,यार्चागुम्बा
jadibuti,जडिबुटी
yak,याक
yeti,यति
chauri,चौरी
gai,गाई
kasturi,कस्तुरी
jantu,जन्तु
raheka,रहेका
jharnharu,झरनाहरू
nepalka,नेपालका
nepali,नेपाली
bhumima,भूमिमा
se,से
phoksundo,फोक्सुन्डो
chorolpa,च्छोरोल्पा
tilicho,तिलिचो
tanharu,तानहरू
jasle,जसले
tyaha,त्यहाँ
pugne,पुग्ने
pratyek,प्रत्येक
swarga,स्वर्ग
pugeko,पुगेको
aabhas,आभास
dieko,दिएको
pokharama,पोखरामा
phewatal,फेवाताल
beganastal,वेगनासताल
surkheta,सुर्खेतमा
bulbule,बुलबुले
tal,ताल
chitwanma,चितवनमा
nandbhauju,नन्दभाउजू
kasara,कसरा
gadwal,गडवाल
tamorhaila,तमोरघैला
tan,तान
hernaka,हेर्नका
matra,मात्र
ramra,राम्रा
chhainan,छैनन्
nauka,नौका
vihar,विहार
upayukta,उपयुक्त
van,वन
prajatika,प्रजातिका
rukhaharu,रूखहरू
painchha,पाइन्छ
niryat,निर्यात
aamdani,आम्दानी
badhauna,बढाउन
sakinchha,सकिन्छ
jangalma,जंगलमा
harro,हर्रो
barro,बर्रो
amala,अमला
tejpat,तेजपात
aiselu,ऐसेलु
chutro,चुत्रो
panchaule,पाँचऔंले
aushadhi,औषधी
banauna,बनाउन
garinchha,गरिन्छ
hamilai,हामीलाई
prakritile,प्रकृतिले
himalko,हिमालको
lek,लेक
pahadka,पहाडका
hariya,हरिया
ani,अनि
taraiko,तराईको
phot,फॉट
nepaliko,नेपालीको
pewa,पेवा
tyasaile,त्यसैले
aawashyak,आवश्यक
bhagya,भाग्य
badali,बदली
bhabisya,भविष्य
